ID,leaked_target_0,leaked_target_1,leaked_target_2,leaked_target_3,leaked_target_4,leaked_target_5,leaked_target_6,leaked_target_7,leaked_target_8,leaked_target_9,leaked_target_10,leaked_target_11,leaked_target_12,leaked_target_13,leaked_target_14,leaked_target_15,leaked_target_16,leaked_target_17,leaked_target_18,leaked_target_19,leaked_target_20,leaked_target_21,leaked_target_22,leaked_target_23,leaked_target_24,leaked_target_25,leaked_target_26,leaked_target_27,leaked_target_28,leaked_target_29,leaked_target_30,leaked_target_31,leaked_target_32,leaked_target_33,leaked_target_34,leaked_target_35,leaked_target_36,leaked_target_37,compiled_leak
00ce2134f,3600000.0,,,,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,,,,3600000.0,3600000.0,,,3600000.0,,3600000.0,,,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,,,,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,,,,3600000.0
00e7ba121,2786000.0,,,,,,,,,,,2786000.0,,,,,,,,,,,,,,,,,,,2786000.0,,,,,,,,2786000.0
00ecc53f2,,,,,,,,,,,,,,,40000.0,,,,40000.0,,,,,,,,,,,,,,,,,,,,40000.0
00fb69afe,,,,,,,,,1600000.0,,1600000.0,,,1600000.0,1600000.0,,,,,1600000.0,,,,,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,,,,,,,,,,1600000.0
00fc78888,3266666.66,3266666.66,,,3266666.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3266666.66
0110c05db,,6140000.0,6140000.0,6140000.0,,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0,6140000.0
0126abf21,14886000.0,14886000.0,,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,,,14886000.0,14886000.0,14886000.0,14886000.0,,,14886000.0,14886000.0,14886000.0,14886000.0,14886000.0,,14886000.0,,,14886000.0,14886000.0,14886000.0,,14886000.0
012800ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012d8bc84,,,,,,,,400000.0,,,,,,,,,,,,,,,,,400000.0,,,,,400000.0,,,,,,,400000.0,400000.0,400000.0
012d9baab,,,,,,,6500000.0,,,6500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500000.0
01346ebb9,,,1700000.0,1700000.0,,,1700000.0,,1700000.0,,,,,,,,,,,1700000.0,,,,,,,,,,,,,,,,,,,1700000.0
013842698,,,,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,,,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,933333.34,,933333.34,,,933333.34,,,933333.34
01432f2c7,4000000.0,,,4000000.0,,,,4000000.0,4000000.0,,,,,,,4000000.0,,,,4000000.0,,4000000.0,,4000000.0,,,,4000000.0,,4000000.0,,4000000.0,4000000.0,4000000.0,,,,,4000000.0
014aa259b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015a1c656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0161ebeea,4666666.66,,,,,,,,,4666666.66,,,,4666666.66,,4666666.66,4666666.66,,,,,,,,,,,,,,4666666.66,,,,,,,,4666666.66
0163ff75d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01666d7a4,,,,,,,,,,,,,,,,,,,,,890000.0,,,,,,,,,,,,,,,,,,890000.0
017ad263f,6000000.0,,,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,,,,,,,,,,,6000000.0,,6000000.0,,,6000000.0,,6000000.0,6000000.0,6000000.0,6000000.0,,,6000000.0,,4000000.0,,,,,6000000.0
01a09167b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01b1dd07c,,,,,,,,2000000.0,2000000.0,2000000.0,,,,,,,2000000.0,,,,,2000000.0,,,,,,,,,,,,,,40000.0,,,2000000.0
01b4bd64a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01b4c938b,,6400000.0,,,,,,,,,6400000.0,,,,,6400000.0,,,,6400000.0,,,,,,,,6400000.0,6400000.0,,,6400000.0,6400000.0,,,,6400000.0,,6400000.0
01bf430de,,20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,,,,,,20000000.0
01db20056,,,,,,,,,,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0
020b34e31,,,,,,,5000000.0,,,,5000000.0,,,,5000000.0,5000000.0,,5000000.0,,5000000.0,,5000000.0,5000000.0,,,,,5000000.0,,,,5000000.0,,5000000.0,5000000.0,,,,5000000.0
02111eb6f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000000.0,,,,
021f11b0c,,,,,,,,34738000.0,34738000.0,34738000.0,34738000.0,,,34738000.0,34738000.0,34738000.0,34738000.0,34738000.0,34738000.0,34738000.0,34738000.0,,,34738000.0,34738000.0,34738000.0,,34738000.0,,34738000.0,34738000.0,,34738000.0,34738000.0,,34738000.0,34738000.0,34738000.0,34738000.0
025b6897a,4000000.0,4000000.0,,4000000.0,,4000000.0,,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,,,4000000.0,4000000.0,4000000.0,,4000000.0,,4000000.0,4000000.0,,,,,,4000000.0,,4000000.0,,,,,,4000000.0
026c1767f,,,,,,1650000.0,,1650000.0,,,,,,,,,,,,,,,,,,,,,,,1650000.0,,,,,,,,1650000.0
0270d1d7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027484f21,,,13200000.0,,13200000.0,,13200000.0,,,,,13200000.0,,13200000.0,,13200000.0,13200000.0,,13200000.0,13200000.0,13200000.0,,,13200000.0,13200000.0,,,13200000.0,,13200000.0,,13200000.0,13200000.0,,,,,,13200000.0
028020c53,,,,,10000000.0,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0
02869e5f9,,,,,2450000.0,2450000.0,2450000.0,2450000.0,,2450000.0,,,2450000.0,2450000.0,2450000.0,,2450000.0,,2450000.0,2450000.0,2450000.0,2450000.0,,,,,,2450000.0,2450000.0,,,,,,,,,,2450000.0
02aa73470,10050000.0,10050000.0,,,,10050000.0,,10050000.0,,10050000.0,,,10050000.0,10050000.0,10050000.0,10050000.0,10050000.0,10050000.0,,10050000.0,,,10050000.0,,,10050000.0,10050000.0,10050000.0,10050000.0,,10050000.0,,10050000.0,,,,,,10050000.0
02c00f064,,,,,,,,,,,1400000.0,,1400000.0,,,,1400000.0,,,,,1400000.0,,,,,,,,,,,,,,,,,1400000.0
02d144b6b,2000000.0,2000000.0,,,2000000.0,,,2000000.0,,2000000.0,2000000.0,,2000000.0,2000000.0,2000000.0,,,2000000.0,2000000.0,,2000000.0,2000000.0,,,,,,2000000.0,2000000.0,,,2000000.0,2000000.0,2000000.0,,2000000.0,,,2000000.0
02d2b0a64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02d4da4c6,,,232000.0,232000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,,,,232000.0
02d69b525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02d791038,,,,,,,300000.0,,,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,300000.0
02e34c8e3,,,,,,,,,,,,,100000.0,,,,,,100000.0,,,100000.0,100000.0,,,,,,,100000.0,,,,,,,,,100000.0
02f97498e,,,,8000000.0,8000000.0,,8000000.0,,,,,,,8000000.0,,8000000.0,8000000.0,8000000.0,8000000.0,,,,,,,,,,,,,,,8000000.0,,,,,8000000.0
02fc56b21,,20000000.0,,,20000000.0,20000000.0,20000000.0,20000000.0,,20000000.0,,20000000.0,,20000000.0,20000000.0,20000000.0,,,,,,20000000.0,20000000.0,20000000.0,,,,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,,20000000.0,,20000000.0,20000000.0
030edce8a,,19333333.34,,19333333.34,19333333.34,,19333333.34,19333333.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19333333.34
031ddd56a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032818895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032beb98c,,,,,,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,,28000000.0,28000000.0,28000000.0,,28000000.0,,28000000.0,,,,28000000.0,28000000.0,,28000000.0,28000000.0,,,28000000.0,,28000000.0,,,,,28000000.0
03498d10d,,,,101000.0,,101000.0,,,,,,,101000.0,101000.0,,,,,,,,,101000.0,,,,,,,,,,,,,,,,101000.0
034c32bb4,,9000000.0,9000000.0,,9000000.0,9000000.0,9000000.0,9000000.0,,9000000.0,9000000.0,,,9000000.0,9000000.0,9000000.0,,,9000000.0,,9000000.0,9000000.0,,,,9000000.0,9000000.0,,,,,9000000.0,9000000.0,9000000.0,,,,,9000000.0
034e7a354,12000000.0,12000000.0,12000000.0,,,,,,12000000.0,,12000000.0,,12000000.0,,12000000.0,,,12000000.0,12000000.0,,,,12000000.0,12000000.0,,,12000000.0,12000000.0,,,,,,,,,,,12000000.0
035419398,,,,,1068000.0,1068000.0,1068000.0,1068000.0,,1068000.0,,,1068000.0,1068000.0,1068000.0,,,,,,,,,,,,,,,,,,,,,,,,1068000.0
0357f3417,,10000000.0,10000000.0,10000000.0,,,,,,,,,10000000.0,,,,,,,10000000.0,,,,,,,,,,,,,,,,5000000.0,,,10000000.0
035b68a24,,25000000.0,25000000.0,25000000.0,,25000000.0,,25000000.0,25000000.0,,,,,,25000000.0,,25000000.0,,,,,,,,,,,,,,,,,,,,,,25000000.0
0360e2d7e,,,,,,,,,,,,78000.0,,,,78000.0,,,,,,,,,,,,,,,,,,,,78000.0,,,78000.0
03967601f,,,,,5000000.0,5000000.0,,,,5000000.0,5000000.0,,,,5000000.0,5000000.0,,,,,,,,,5000000.0,,,,,,,,,,,,,,5000000.0
03a963ee8,,,4000000.0,4000000.0,4000000.0,,4000000.0,4000000.0,,,4000000.0,,4000000.0,4000000.0,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,4000000.0
03c23ecdf,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,32500000.0,,,32500000.0,32500000.0,32500000.0,32500000.0,,,,32500000.0,32500000.0,32500000.0,32500000.0,,,32500000.0,32500000.0,32500000.0,,,,,,,,,,,32500000.0
03d938c35,200000.0,,200000.0,,,,,200000.0,,,,200000.0,200000.0,,200000.0,200000.0,,,,200000.0,,,,,200000.0,,200000.0,,,200000.0,,,200000.0,,,,,,200000.0
03e106196,620000.0,,,,620000.0,620000.0,,,620000.0,,,,,,,,,,,,,620000.0,620000.0,,,,,,,,,,,,,,,,620000.0
03ec1414d,,200000.0,,200000.0,200000.0,,,,,,,200000.0,,,,200000.0,,,,,200000.0,200000.0,,,,,200000.0,,,200000.0,,,,,,200000.0,,,200000.0
03f924fe6,10000000.0,,,10000000.0,10000000.0,,,,,,,,,,,,,,,,,,,,10000000.0,,,10000000.0,,,,,,,,,,,10000000.0
040843487,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,,,,,5000000.0
0424bf0f1,2290000.0,2290000.0,,,2290000.0,2290000.0,2290000.0,,,,2290000.0,2290000.0,,2290000.0,,,2290000.0,,2290000.0,2290000.0,,,,,,,,,,,,2290000.0,,2290000.0,2290000.0,2290000.0,2290000.0,20402500.0,2290000.0
042cdc62a,,3925333.34,,3925333.34,3925333.34,3925333.34,3925333.34,3925333.34,3925333.34,,,,3925333.34,3925333.34,3925333.34,,3925333.34,3925333.34,3925333.34,,3925333.34,3925333.34,,,,,,,,,,3925333.34,,3925333.34,,,,,3925333.34
043a2b686,,,,16000000.0,,,16000000.0,,16000000.0,,16000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000000.0
048042a7b,56000.0,,,56000.0,,,,,,56000.0,,56000.0,,,,,,,,56000.0,,56000.0,,,,,,56000.0,,,56000.0,56000.0,56000.0,,,56000.0,,92000.0,56000.0
04a154f62,,,,,9592000.0,,,9592000.0,9592000.0,,9592000.0,9592000.0,,9592000.0,,,9592000.0,,,,,,,,,,,,,,,,,,,,,,9592000.0
04b3efeb9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04bc62ea4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400000.0,6400000.0,,,,,,
04d0e4cf0,,,,,,,,,,,,,,4500000.0,4500000.0,,,,,,,,,,,,,,,,,,,,,,,,4500000.0
04d0f44bc,,,,4000000.0,,,,,,,,,,4000000.0,,,,,,,,,,,,,,,,,,,,,,,4000000.0,,4000000.0
04ed5af8a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04fbf2d59,,,,,,,,,,,,,,,,,,,,,,,,,,,1160000.0,,,,,,,,,,,,1160000.0
0527dddcf,4000000.0,,,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,,4000000.0,,,4000000.0,,4000000.0,,4000000.0,,,4000000.0,,,,,,,,,,,,,,,,,4000000.0
0528302c3,,,,,,6008000.0,6008000.0,,,6008000.0,6008000.0,,,6008000.0,6008000.0,,,,,,6008000.0,,6008000.0,6008000.0,6008000.0,,,,,,,,,,,,,,6008000.0
0536e2258,,,,,,1000000.0,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,1000000.0
054da754d,3000000.0,,,,3000000.0,,,,3000000.0,,,3000000.0,3000000.0,3000000.0,,,3000000.0,,3000000.0,,,,3000000.0,,,,3000000.0,,,3000000.0,3000000.0,,3000000.0,,3000000.0,,,,3000000.0
056c44518,30000000.0,,,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,,,,,30000000.0,,,,30000000.0,,,,,,30000000.0
058c8b11d,,,,,,,,1800000.0,,,,,1800000.0,,,,1800000.0,,,,,,,,1800000.0,1800000.0,,,1800000.0,1800000.0,,,,1800000.0,1800000.0,,,,1800000.0
0599759ce,,,7000000.0,,7000000.0,,,,7000000.0,,,,7000000.0,,,7000000.0,7000000.0,,7000000.0,,7000000.0,,,,,7000000.0,,,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,,7000000.0,,,,7000000.0
059b6f1fa,2453200.0,2453200.0,2453200.0,2453200.0,,,,,,,,,,,,,,,2453200.0,,,2453200.0,2453200.0,,,,,2453200.0,,,2453200.0,,,,,,,,2453200.0
059d00929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05a4eee1d,185200.0,,,,,,,,,,185200.0,185200.0,,,,,,,,,,,,,,,,,,,,,,,,,,35050000.0,185200.0
05b3e7717,10000000.0,,,,,,,,,10000000.0,,,,,,,10000000.0,,,,,,,,,,,,,,,,,,,,,,10000000.0
05bd95a13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,,,,,,,,,
05f28202c,,,,,600000.0,600000.0,,,600000.0,600000.0,,,,,,600000.0,,600000.0,,,600000.0,,,,600000.0,,,600000.0,600000.0,,,600000.0,,,,,,,600000.0
061309a97,2000000.0,2000000.0,,,,,,,,,2000000.0,,,,,2000000.0,2000000.0,,,,,,,,2000000.0,,,,,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,,,,2000000.0
06131d5cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062bb21e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06488c90a,,,,2400000.0,,,,2400000.0,,2400000.0,2400000.0,,2400000.0,2400000.0,2400000.0,,,,2400000.0,2400000.0,,,,,,2400000.0,,,2400000.0,,,,,,,,,,2400000.0
064d48f86,,,2580000.0,,2580000.0,,,,,,,,,,,2580000.0,,,,,,,,,,,,,,,,,,,,,,,2580000.0
0662f9392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066502f55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066608dee,100000.0,,,100000.0,100000.0,,,,100000.0,100000.0,,,100000.0,100000.0,100000.0,,,,,100000.0,,,100000.0,,100000.0,,100000.0,,,100000.0,,,,,,,100000.0,,100000.0
06843cff2,,,,,,,,,,,,,,6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0
068d32d7f,,,160000.0,,,,,160000.0,,160000.0,160000.0,160000.0,160000.0,,,160000.0,,,,,160000.0,160000.0,,160000.0,,,,160000.0,,,,,,,,,,,160000.0
06cd03d09,3095200.0,3095200.0,3095200.0,3095200.0,3095200.0,3095200.0,3095200.0,,,3095200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3095200.0
06e503809,20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0
06f5eb3b9,1400000.0,,1400000.0,,,1400000.0,1400000.0,1400000.0,,1400000.0,,1400000.0,1400000.0,1400000.0,1400000.0,,,,,,1400000.0,1400000.0,,1400000.0,,,1400000.0,,,,,,,,,,,,1400000.0
06f84353d,,,,,,400000.0,400000.0,,,,,,,,,,,,,,,,,,,400000.0,,,,,400000.0,,,,,,,,400000.0
06f8d2837,,600000.0,,,600000.0,600000.0,,,,,,,,600000.0,600000.0,600000.0,600000.0,600000.0,,,,600000.0,600000.0,600000.0,600000.0,,,,600000.0,,600000.0,,,,,,,,600000.0
06fab8e09,,10000000.0,,,,10000000.0,10000000.0,,,,,,,,,,,10000000.0,,,,10000000.0,,,,10000000.0,,,2400000.0,,,,,,,,,,10000000.0
070ff9b8c,,,1500000.0,,1500000.0,,1500000.0,1500000.0,,,1500000.0,,,,1500000.0,1500000.0,1500000.0,,,,,,1500000.0,,,,,,,,,,,,,,,,1500000.0
071329972,,,,,,,,,,,,,,,,,,,,,,,8000000.0,,,,,,,8000000.0,,,,,,,,,8000000.0
071b32ef7,,350000.0,350000.0,350000.0,350000.0,350000.0,,,,,,,,,,,,,,,350000.0,350000.0,,,,,350000.0,,350000.0,,,,,,,,,,350000.0
0733849bd,,,,,,,,,,600000.0,,,,,600000.0,600000.0,600000.0,600000.0,,,,600000.0,600000.0,600000.0,600000.0,,,,600000.0,,600000.0,,,,,,,,600000.0
07495ca77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0763993d0,,16000000.0,16000000.0,,16000000.0,16000000.0,16000000.0,,,,,,16000000.0,,16000000.0,16000000.0,,,16000000.0,,,,,,,,,,,,,,,,,,,,16000000.0
0770e5ca3,20000000.0,20000000.0,20000000.0,20000000.0,,,,20000000.0,20000000.0,,,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,,,20000000.0,20000000.0,,20000000.0,,,,20000000.0,,,20000000.0,,20000000.0,,,,20000000.0
077787b5d,10814666.66,10814666.66,10814666.66,10814666.66,,10814666.66,10814666.66,10814666.66,10814666.66,,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,10814666.66,,,10814666.66,,,,,,,,,,,,,,,10814666.66
07874a916,,2000000.0,2000000.0,2000000.0,,2000000.0,2000000.0,,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,,,2000000.0,2000000.0,2000000.0,,,,,,2000000.0,,,2000000.0,2000000.0,2000000.0,2000000.0,,2000000.0,,,,,,2000000.0
078c9588e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07902a079,,,,,,,,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,3000000.0
07954eaf6,,800000.0,800000.0,,,800000.0,800000.0,800000.0,800000.0,800000.0,,,,,800000.0,,800000.0,,,800000.0,800000.0,800000.0,800000.0,,,,,,,,,,,,,,,,800000.0
079a1e508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000.0,2500000.0,,,,,
07b34096c,34000.0,,,,,,,,34000.0,,34000.0,,,,,,34000.0,,,34000.0,34000.0,34000.0,,,34000.0,,,,,,,,,,,,,,34000.0
07b7baef9,4000000.0,4000000.0,,,,4000000.0,4000000.0,4000000.0,,,,,,,,,4000000.0,,,,4000000.0,,4000000.0,4000000.0,,,,,,,,,,,,,,,4000000.0
07d01b837,2600000.0,2600000.0,,,2600000.0,,2600000.0,,,,,,2600000.0,,2600000.0,,2600000.0,,2600000.0,,2600000.0,2600000.0,,,2600000.0,,,,2600000.0,2600000.0,2600000.0,,2600000.0,,,,,,2600000.0
07eb3e75d,25020000.0,25020000.0,,25020000.0,,,25020000.0,,,25020000.0,,,25020000.0,25020000.0,25020000.0,25020000.0,25020000.0,,25020000.0,,,25020000.0,25020000.0,,25020000.0,,25020000.0,,,,,,,25020000.0,,25020000.0,25020000.0,,25020000.0
0803772fe,,,,,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0
08067f653,,,,2800000.0,2800000.0,2800000.0,,,,2800000.0,,,,,,,,,,2800000.0,2800000.0,,,,,,2800000.0,,,,600000.0,,,,,,,,2800000.0
08207f2c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0823dffa9,100000.0,,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,3500000.0,,,,100000.0
084461f11,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,,,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,700000.0,,700000.0,,,700000.0,,700000.0,,700000.0,,,700000.0,,,,,,,,700000.0
0850d8ad9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08557af71,32000000.0,32000000.0,32000000.0,,,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,,,,,32000000.0,,,,32000000.0,,,,32000000.0
085fb524c,,,3500000.0,,,3500000.0,,,3500000.0,,,3500000.0,3500000.0,3500000.0,,,,,3500000.0,,,3500000.0,3500000.0,3500000.0,,3500000.0,3500000.0,,3500000.0,3500000.0,3500000.0,3500000.0,3500000.0,,,,3500000.0,,3500000.0
086a34c77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08799037c,,,26428571.42,,,,,26428571.42,,,,,26428571.42,,26428571.42,,,,,,,,,,,,,,,,,,,,,,,2760000.0,26428571.42
087ea0844,10000000.0,,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0
089248d8e,,,,,,,,,,,,14000000.0,,14000000.0,,,,8500000.0,,1900000.0,,,,,,,,,,,,,,,,,,,14000000.0
08b341d7d,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,,2000000.0,2000000.0,2000000.0,2000000.0,,,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,2000000.0,,,2000000.0,2000000.0,2000000.0,,2000000.0,2000000.0,2000000.0,2000000.0,,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,2000000.0
08c00d3d8,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0
08c1f91b0,200000.0,,200000.0,,,,200000.0,,,,200000.0,200000.0,,,,,200000.0,,,,200000.0,200000.0,,,,,,,,,,,,,,,,,200000.0
08cb967e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08cc2588d,,,,,,,163000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163000.0
08d27660b,3734230.76,3734230.76,,3734230.76,,3734230.76,3734230.76,3734230.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3734230.76
