24addf864,a63aaf7cc,b65627fab,a697e9248,916d17652,013127235,dd2fc85d7,1ce5f7bde,7af2b8f44,99ea04b86,42b795e64,6a9e2b09d,defcc2c50,22b3a9853,0f14ab429,4a29bc92b,425c08bf3,181e91b1c,1d2df346e,8dbd95b8d,55d7eb6d2,94516b63e,48aa6d627,42d321127,35d9497eb,2f489369f,72ad5471c,24292d615,e4eac6fc5,6fec5a793,bbd7e6282,0b9a18ebf,26419fa97,015c3e354,b93c33953,dbf75ea9f,d08c4204c,d5de50af2,1cec80910,32313055b
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658000,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,658000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,658000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,658000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,658000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,658000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0,0,0,0,0,5548000
0,0,0,0,0,0,0,0,658000,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5548000,0,0
0,0,0,0,0,0,0,658000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0,0,0,0,5548000,0,0,0
0,0,0,0,0,0,658000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0,0,0,0,5548000,0,0,0,0
0,0,0,0,0,658000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0,0,0,0,5548000,0,0,0,0,0
0,0,0,0,658000,0,0,0,0,0,0,0,0,0,0,0,5548000,0,0,0,0,0,0,0,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,658000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0,0,0,0,0,5548000,0,0,0,0,0,2156874
