994b946ad,acc4a8e68,4ecc3f505,64dd02e44,8479174c2,ba136ae3f,6192f193d,44cb9b7c4,96b6bd42b,7121c40ee,018ab6a80,578b81a77,95aea9233,097c7841e,f9847e9fe,578eda8e0,e43343256,ddea5dc65,415094079,2570e2ba9,d79736965,c671db79e,429687d5a,e4159c59e,64534cc93,aeff360c7,3a62b36bd,f14b57b8f,c8fdf5cbf,0e1f6696a,9c42bff81,cf488d633,6d2ece683,d4c1de0e2,ba4ceabc5,ac30af84a,e1d0e11b5,ea4887e6b,197cb48af,9d5c7cb94
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,0.0,5088000.0,5462000.0,2764000.0,2085000.0,2257000.0,2093000.0,3378000.0,6208000.0,5462000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,5462000.0,0.0,2764000.0,2085000.0,2257000.0,2093000.0,3378000.0,6208000.0,5462000.0,1104000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,2764000.0,5462000.0,2085000.0,2257000.0,2093000.0,3378000.0,6208000.0,5462000.0,1104000.0,1679000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2085000.0,2764000.0,2257000.0,2093000.0,3378000.0,6208000.0,5462000.0,1104000.0,1679000.0,1845000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2764000.0,2257000.0,2085000.0,2093000.0,3378000.0,6208000.0,5462000.0,1104000.0,1679000.0,1845000.0,2356000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2764000.0,2085000.0,2093000.0,2257000.0,3378000.0,6208000.0,5462000.0,1104000.0,1679000.0,1845000.0,2356000.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2764000.0,2085000.0,2257000.0,3378000.0,2093000.0,6208000.0,5462000.0,1104000.0,1679000.0,1845000.0,2356000.0,0.0,1217000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2764000.0,2085000.0,2257000.0,2093000.0,6208000.0,3378000.0,5462000.0,1104000.0,1679000.0,1845000.0,2356000.0,0.0,1217000.0,1945000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2764000.0,2085000.0,2257000.0,2093000.0,3378000.0,5462000.0,6208000.0,1104000.0,1679000.0,1845000.0,2356000.0,0.0,1217000.0,1945000.0,1881000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2764000.0,2085000.0,2257000.0,2093000.0,3378000.0,6208000.0,1104000.0,5462000.0,1679000.0,1845000.0,2356000.0,0.0,1217000.0,1945000.0,1881000.0,2740000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2764000.0,2085000.0,2257000.0,2093000.0,3378000.0,6208000.0,5462000.0,1679000.0,1104000.0,1845000.0,2356000.0,0.0,1217000.0,1945000.0,1881000.0,2740000.0,4278857.14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2764000.0,2085000.0,2257000.0,2093000.0,3378000.0,6208000.0,5462000.0,1104000.0,1845000.0,1679000.0,2356000.0,0.0,1217000.0,1945000.0,1881000.0,2740000.0,4278857.14,1913000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2764000.0,2085000.0,2257000.0,2093000.0,3378000.0,6208000.0,5462000.0,1104000.0,1679000.0,2356000.0,1845000.0,0.0,1217000.0,1945000.0,1881000.0,2740000.0,4278857.14,1913000.0,1752000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2764000.0,2085000.0,2257000.0,2093000.0,3378000.0,6208000.0,5462000.0,1104000.0,1679000.0,1845000.0,0.0,2356000.0,1217000.0,1945000.0,1881000.0,2740000.0,4278857.14,1913000.0,1752000.0,1337000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2764000.0,2085000.0,2257000.0,2093000.0,3378000.0,6208000.0,5462000.0,1104000.0,1679000.0,1845000.0,2356000.0,1217000.0,0.0,1945000.0,1881000.0,2740000.0,4278857.14,1913000.0,1752000.0,1337000.0,1466000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,5088000.0,0.0,5462000.0,2764000.0,2085000.0,2257000.0,2093000.0,3378000.0,6208000.0,5462000.0,1104000.0,1679000.0,1845000.0,2356000.0,0.0,1217000.0,1945000.0,2740000.0,1881000.0,4278857.14,1913000.0,1752000.0,1337000.0,1466000.0,1470666.66,1442000.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,5088000.0,5462000.0,2764000.0,2085000.0,2257000.0,2093000.0,3378000.0,6208000.0,5462000.0,1104000.0,1679000.0,1845000.0,2356000.0,0.0,1217000.0,1945000.0,1881000.0,2740000.0,1913000.0,4278857.14,1752000.0,1337000.0,1466000.0,1470666.66,1442000.0,0.0,0.0,1810000.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,5088000.0,5462000.0,0.0,0.0,2764000.0,2085000.0,2257000.0,2093000.0,3378000.0,6208000.0,5462000.0,1104000.0,1679000.0,1845000.0,2356000.0,0.0,1217000.0,1945000.0,1881000.0,2740000.0,4278857.14,1752000.0,1913000.0,1337000.0,1466000.0,1470666.66,1442000.0,0.0,0.0,1810000.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,0.0,2764000.0,5088000.0,5462000.0,2085000.0,2257000.0,2093000.0,3378000.0,6208000.0,5462000.0,1104000.0,1679000.0,1845000.0,2356000.0,0.0,1217000.0,1945000.0,1881000.0,2740000.0,4278857.14,1913000.0,1337000.0,1752000.0,1466000.0,1470666.66,1442000.0,0.0,0.0,1810000.0,0.0,1674000.0
0.0,0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,5462000.0,2085000.0,0.0,2764000.0,2257000.0,2093000.0,3378000.0,6208000.0,5462000.0,1104000.0,1679000.0,1845000.0,2356000.0,0.0,1217000.0,1945000.0,1881000.0,2740000.0,4278857.14,1913000.0,1752000.0,1466000.0,1337000.0,1470666.66,1442000.0,0.0,0.0,1810000.0,0.0,1674000.0,1108000.0
0.0,0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,2764000.0,2257000.0,5462000.0,2085000.0,2093000.0,3378000.0,6208000.0,5462000.0,1104000.0,1679000.0,1845000.0,2356000.0,0.0,1217000.0,1945000.0,1881000.0,2740000.0,4278857.14,1913000.0,1752000.0,1337000.0,1470666.66,1466000.0,1442000.0,0.0,0.0,1810000.0,0.0,1674000.0,1108000.0,720666.66
0.0,0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2085000.0,2093000.0,2764000.0,2257000.0,3378000.0,6208000.0,5462000.0,1104000.0,1679000.0,1845000.0,2356000.0,0.0,1217000.0,1945000.0,1881000.0,2740000.0,4278857.14,1913000.0,1752000.0,1337000.0,1466000.0,1442000.0,1470666.66,0.0,0.0,1810000.0,0.0,1674000.0,1108000.0,720666.66,877000.0
0.0,0.0,0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2764000.0,2257000.0,3378000.0,2085000.0,2093000.0,6208000.0,5462000.0,1104000.0,1679000.0,1845000.0,2356000.0,0.0,1217000.0,1945000.0,1881000.0,2740000.0,4278857.14,1913000.0,1752000.0,1337000.0,1466000.0,1470666.66,0.0,1442000.0,0.0,1810000.0,0.0,1674000.0,1108000.0,720666.66,877000.0,0.0
0.0,0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2764000.0,2085000.0,2093000.0,6208000.0,2257000.0,3378000.0,5462000.0,1104000.0,1679000.0,1845000.0,2356000.0,0.0,1217000.0,1945000.0,1881000.0,2740000.0,4278857.14,1913000.0,1752000.0,1337000.0,1466000.0,1470666.66,1442000.0,0.0,0.0,1810000.0,0.0,1674000.0,1108000.0,720666.66,877000.0,0.0,0.0
0.0,2460000.0,0.0,5088000.0,0.0,5462000.0,2764000.0,2085000.0,2257000.0,3378000.0,5462000.0,2093000.0,6208000.0,1104000.0,1679000.0,1845000.0,2356000.0,0.0,1217000.0,1945000.0,1881000.0,2740000.0,4278857.14,1913000.0,1752000.0,1337000.0,1466000.0,1470666.66,1442000.0,0.0,1810000.0,0.0,0.0,1674000.0,1108000.0,720666.66,877000.0,0.0,0.0,1185000.0
