a9819bda9,ea26c7fe6,3a89d003b,1029d9146,759c9e85d,1f71b76c1,56cb93fd8,946d16369,33e4f9a0e,5a6a1ec1a,4c835bd02,b3abb64d2,de63b3487,854e37761,c059f2574,e36687647,d58172aef,d746efbfe,ccf6632e6,fe0dd1a15,f1c272f04,da7f4b066,3a7771f56,5807de036,b22eb2036,b77c707ef,e4e9c8cc6,ff3b49c1d,800f38b6b,9a1d8054b,0c9b00a91,1f8415d03,6a542a40a,d53d64307,e700276a2,bb6f50464,988518e2d,fe28836c3,d7447b2c5,f0eb7b98f
0,0,0,10000000,0,84600000,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10000000,84600000,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,84600000,0,0,0,0,0,10000000,1182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,10000000,0,84600000,0,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,10000000,0,84600000,0,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10000000,0,84600000,0,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10000000,0,84600000,0,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10000000,0,0,0,0,0,0,0,0,84600000,1182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,10000000,84600000,0,0,0,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,84600000,0,0,0,0,10000000,0,0,1182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,84600000,0,0,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,84600000,0,0,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,84600000,0,0,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,84600000,0,0,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,84600000,0,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,0,84600000,0,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,84600000,0,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,84600000,0,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0,0
0,1336000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,84600000,0,0,0,0,0,1182000,0,0,0,0,0,0,0,0
0,0,1336000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,84600000,0,0,0,0,0,1182000,0,0,0,0,0,0,0
0,0,0,1336000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,84600000,0,0,0,0,0,1182000,0,0,0,0,0,0
376000,0,0,0,1336000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,84600000,0,0,0,0,0,1182000,0,0,0,0,0
0,376000,0,0,0,1336000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,84600000,0,0,0,0,0,1182000,0,0,0,0
0,0,376000,0,0,0,0,0,0,0,0,0,0,1336000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000,0,84600000,0,0,0,0,0,1182000,0,0,0
