50603ae3d,48282f315,090dfb7e2,6ccaaf2d7,1bf2dfd4a,50b1dd40f,1604c0735,e94c03517,f9378f7ef,65266ad22,ac61229b6,f5723deba,1ced7f0b4,b9a4f06cd,8132d18b8,df28ac53d,ae825156f,936dc3bc4,5b233cf72,95a2e29fc,882a3da34,2cb4d123e,0e1921717,c83d6b24d,90a2428a5,67e6c62b9,320931ca8,900045349,bf89fac56,da3b0b5bb,f06078487,56896bb36,a79522786,71c2f04c9,1af96abeb,4b1a994cc,dee843499,645b47cde,a8e15505d,cc9c2fc87
2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0,0,0,0,0,0,0,0
800000,0,0,0,0,0,0,0,0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0,0,0,0,0,0,0
0,800000,0,0,0,0,0,0,0,0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0,0,0,0,0,0
0,0,0,800000,0,0,0,0,0,0,0,0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0,0,0,0
0,0,0,0,800000,0,0,0,0,0,0,0,0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0,0,0
0,0,0,0,0,800000,0,0,0,0,0,0,0,0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0,0
0,0,0,0,0,0,800000,0,0,0,0,0,0,0,0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0,0
0,0,0,0,0,0,0,800000,0,0,0,0,0,0,0,0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0,0
0,0,0,0,0,0,0,0,800000,0,0,0,0,0,0,0,0,136000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,714000,0,0
