ec5764030,42fdff3a0,fa6e76901,6e76d5df3,1c486f8dd,2daf6b624,cbf236577,9562ce5c8,8e1822aa3,fd9968f0d,ed1f680d4,6bd9d9ae3,896d1c52d,a60974604,b41a9fc75,9d6b84f39,5661462ee,186b87c05,e5ac02d3c,0c4bf4863,1fba6a5d5,4f2f6b0b3,cd8048913,e17f1f07c,707f193d9,8ca08456c,3adf5e2b5,a60027bb4,e7071d5e3,c7ae29e66,50780ec40,8485abcab,f8b733d3f,994b4c2ac,6af8b2246,dd85a900c,ccb68477c,715fa74a4,adadb9a96,77eb013ca
79600.0,0.0,0.0,0.0,0.0,1500000.0,740000.0,206000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,79600.0,0.0,0.0,0.0,0.0,206000.0,1500000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400666.66,0.0,79600.0,0.0,0.0,0.0,1500000.0,0.0,206000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,835000.0,400666.66,0.0,79600.0,0.0,0.0,0.0,0.0,1500000.0,206000.0,740000.0,373333.34,1572000.0,1050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212000.0,0.0,835000.0,400666.66,0.0,79600.0,0.0,0.0,0.0,0.0,1500000.0,206000.0,740000.0,1050000.0,373333.34,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55333.34,212000.0,0.0,835000.0,400666.66,0.0,0.0,79600.0,0.0,0.0,0.0,1500000.0,206000.0,373333.34,740000.0,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,55333.34,212000.0,0.0,835000.0,400666.66,79600.0,0.0,0.0,0.0,0.0,0.0,1500000.0,740000.0,206000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58666.66,0.0,55333.34,212000.0,0.0,835000.0,0.0,400666.66,79600.0,0.0,0.0,0.0,0.0,206000.0,1500000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,58666.66,0.0,55333.34,212000.0,0.0,400666.66,835000.0,0.0,79600.0,0.0,0.0,0.0,1500000.0,0.0,206000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56000.0,0.0,58666.66,0.0,55333.34,212000.0,835000.0,0.0,400666.66,0.0,79600.0,0.0,0.0,0.0,0.0,1500000.0,206000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182666.66,56000.0,0.0,58666.66,0.0,55333.34,0.0,212000.0,835000.0,400666.66,0.0,79600.0,0.0,0.0,0.0,0.0,1500000.0,206000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390000.0,182666.66,56000.0,0.0,58666.66,0.0,212000.0,55333.34,0.0,835000.0,400666.66,0.0,79600.0,0.0,0.0,0.0,0.0,1500000.0,206000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,390000.0,182666.66,56000.0,0.0,58666.66,55333.34,0.0,212000.0,0.0,835000.0,400666.66,0.0,0.0,79600.0,0.0,0.0,0.0,1500000.0,206000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,390000.0,182666.66,56000.0,0.0,0.0,58666.66,55333.34,212000.0,0.0,835000.0,400666.66,79600.0,0.0,0.0,0.0,0.0,0.0,1500000.0,206000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600000.0,0.0,0.0,390000.0,182666.66,56000.0,58666.66,0.0,0.0,55333.34,212000.0,0.0,835000.0,0.0,400666.66,79600.0,0.0,0.0,0.0,0.0,1500000.0,206000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,600000.0,0.0,0.0,390000.0,182666.66,0.0,56000.0,58666.66,0.0,55333.34,212000.0,0.0,400666.66,835000.0,0.0,79600.0,0.0,0.0,0.0,0.0,1500000.0,206000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,200000.0,600000.0,0.0,0.0,390000.0,56000.0,182666.66,0.0,58666.66,0.0,55333.34,212000.0,835000.0,0.0,400666.66,0.0,79600.0,0.0,0.0,0.0,0.0,1500000.0,206000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700000.0,200000.0,200000.0,600000.0,0.0,0.0,182666.66,390000.0,56000.0,0.0,58666.66,0.0,55333.34,0.0,212000.0,835000.0,400666.66,0.0,79600.0,0.0,0.0,0.0,0.0,1500000.0,206000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,700000.0,200000.0,200000.0,600000.0,0.0,390000.0,0.0,182666.66,56000.0,0.0,58666.66,0.0,212000.0,55333.34,0.0,835000.0,400666.66,0.0,79600.0,0.0,0.0,0.0,0.0,1500000.0,206000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38000.0,0.0,700000.0,200000.0,200000.0,600000.0,0.0,0.0,390000.0,182666.66,56000.0,0.0,58666.66,55333.34,0.0,212000.0,0.0,835000.0,400666.66,0.0,79600.0,0.0,0.0,0.0,0.0,1500000.0,206000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83000.0,0.0,38000.0,0.0,700000.0,200000.0,600000.0,200000.0,0.0,0.0,390000.0,182666.66,56000.0,58666.66,0.0,0.0,55333.34,212000.0,0.0,835000.0,400666.66,0.0,79600.0,0.0,0.0,0.0,0.0,1500000.0,206000.0,740000.0,373333.34,1572000.0,1050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,83000.0,0.0,38000.0,0.0,700000.0,200000.0,200000.0,600000.0,0.0,0.0,390000.0,182666.66,0.0,56000.0,58666.66,0.0,55333.34,212000.0,0.0,835000.0,400666.66,0.0,79600.0,0.0,0.0,0.0,0.0,1500000.0,206000.0,740000.0,1050000.0,373333.34,1572000.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000.0,0.0,83000.0,0.0,38000.0,0.0,200000.0,700000.0,200000.0,600000.0,0.0,0.0,390000.0,56000.0,182666.66,0.0,58666.66,0.0,55333.34,212000.0,0.0,835000.0,400666.66,0.0,79600.0,0.0,0.0,0.0,0.0,1500000.0,206000.0,373333.34,740000.0,1050000.0,1572000.0,0.0,0.0,0.0,0.0,0.0
0.0,1000000.0,0.0,83000.0,0.0,38000.0,700000.0,0.0,200000.0,200000.0,600000.0,0.0,0.0,182666.66,390000.0,56000.0,0.0,58666.66,0.0,55333.34,212000.0,0.0,835000.0,400666.66,0.0,79600.0,0.0,0.0,0.0,0.0,1500000.0,740000.0,206000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0,0.0
0.0,0.0,1000000.0,0.0,83000.0,0.0,0.0,38000.0,700000.0,200000.0,200000.0,600000.0,0.0,390000.0,0.0,182666.66,56000.0,0.0,58666.66,0.0,55333.34,212000.0,0.0,835000.0,400666.66,0.0,79600.0,0.0,0.0,0.0,0.0,206000.0,1500000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0,0.0
0.0,0.0,0.0,1000000.0,0.0,83000.0,38000.0,0.0,0.0,700000.0,200000.0,200000.0,600000.0,0.0,0.0,390000.0,182666.66,56000.0,0.0,58666.66,0.0,55333.34,212000.0,0.0,835000.0,400666.66,0.0,79600.0,0.0,0.0,0.0,1500000.0,0.0,206000.0,740000.0,373333.34,1050000.0,1572000.0,0.0,0.0
