a6fd11a84,a924cf47a,4d294d2cf,1f0a4e1f9,e369704a1,51ee03895,daedcafad,7bddf55e1,91fd68481,0809c8241,bea06dade,8c922fa9a,b261b0abe,00b309c64,afa9b3198,0c49d75af,e506de1e1,090fba3ad,b67c7783e,0badd2fa2,c333aa06c,f98d7054f,4d1f9e4d7,903749e8a,6ba70f5f8,6cd2424c4,9f5a3b3c0,864b62f7d,4411325ed,e5587ec32,a47445036,0761cbb48,ce408348f,c85a3dcc4,c47fe5e84,284d07c28,ae3aa1abd,8706aa459,a1f73b0d3,693972ceb
162000.0,0.0,0.0,0.0,0.0,0.0,544000.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,162000.0,0.0,0.0,0.0,544000.0,0.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162000.0,0.0,162000.0,0.0,0.0,0.0,0.0,544000.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404000.0,0.0,162000.0,0.0,162000.0,0.0,0.0,0.0,0.0,544000.0,0.0,412000.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242000.0,404000.0,0.0,162000.0,0.0,0.0,162000.0,0.0,0.0,0.0,544000.0,0.0,0.0,412000.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,242000.0,404000.0,0.0,162000.0,162000.0,0.0,0.0,0.0,0.0,0.0,544000.0,412000.0,0.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162000.0,0.0,242000.0,404000.0,0.0,0.0,162000.0,162000.0,0.0,0.0,0.0,0.0,0.0,544000.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,162000.0,0.0,242000.0,404000.0,162000.0,0.0,0.0,162000.0,0.0,0.0,0.0,544000.0,0.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,162000.0,0.0,242000.0,0.0,404000.0,162000.0,0.0,162000.0,0.0,0.0,0.0,0.0,544000.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,162000.0,0.0,404000.0,242000.0,0.0,162000.0,0.0,162000.0,0.0,0.0,0.0,0.0,544000.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,162000.0,242000.0,0.0,404000.0,0.0,162000.0,0.0,162000.0,0.0,0.0,0.0,0.0,544000.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,162000.0,242000.0,404000.0,0.0,162000.0,0.0,0.0,162000.0,0.0,0.0,0.0,544000.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564000.0,0.0,0.0,0.0,0.0,162000.0,0.0,0.0,242000.0,404000.0,0.0,162000.0,162000.0,0.0,0.0,0.0,0.0,0.0,544000.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,564000.0,0.0,0.0,0.0,0.0,0.0,162000.0,0.0,242000.0,404000.0,0.0,0.0,162000.0,162000.0,0.0,0.0,0.0,0.0,544000.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,564000.0,0.0,0.0,0.0,0.0,0.0,162000.0,0.0,242000.0,404000.0,162000.0,0.0,0.0,162000.0,0.0,0.0,0.0,0.0,544000.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000000.0,0.0,0.0,564000.0,0.0,0.0,0.0,0.0,0.0,162000.0,0.0,242000.0,0.0,404000.0,162000.0,0.0,162000.0,0.0,0.0,0.0,0.0,544000.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10000000.0,0.0,0.0,564000.0,0.0,0.0,0.0,0.0,0.0,162000.0,0.0,404000.0,242000.0,0.0,162000.0,0.0,162000.0,0.0,0.0,0.0,0.0,544000.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10000000.0,0.0,0.0,0.0,564000.0,0.0,0.0,0.0,0.0,162000.0,242000.0,0.0,404000.0,0.0,162000.0,0.0,162000.0,0.0,0.0,0.0,0.0,544000.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,10000000.0,0.0,564000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162000.0,242000.0,404000.0,0.0,162000.0,0.0,162000.0,0.0,0.0,0.0,0.0,544000.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,564000.0,0.0,0.0,0.0,0.0,162000.0,0.0,0.0,242000.0,404000.0,0.0,162000.0,0.0,162000.0,0.0,0.0,0.0,0.0,544000.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,564000.0,0.0,0.0,0.0,0.0,0.0,162000.0,0.0,242000.0,404000.0,0.0,162000.0,0.0,162000.0,0.0,0.0,0.0,0.0,544000.0,0.0,412000.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,564000.0,0.0,0.0,0.0,0.0,0.0,162000.0,0.0,242000.0,404000.0,0.0,162000.0,0.0,162000.0,0.0,0.0,0.0,0.0,544000.0,0.0,0.0,412000.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,564000.0,0.0,0.0,0.0,0.0,0.0,162000.0,0.0,242000.0,404000.0,0.0,162000.0,0.0,162000.0,0.0,0.0,0.0,0.0,544000.0,412000.0,0.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,564000.0,0.0,0.0,0.0,0.0,162000.0,0.0,242000.0,404000.0,0.0,162000.0,0.0,162000.0,0.0,0.0,0.0,0.0,0.0,544000.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,564000.0,0.0,0.0,0.0,0.0,0.0,0.0,162000.0,0.0,242000.0,404000.0,0.0,162000.0,0.0,162000.0,0.0,0.0,0.0,544000.0,0.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,564000.0,0.0,0.0,0.0,0.0,0.0,162000.0,0.0,242000.0,404000.0,0.0,162000.0,0.0,162000.0,0.0,0.0,0.0,0.0,544000.0,0.0,412000.0,0.0,324000.0,0.0,0.0,0.0
