4569d5378,22f05c895,5fad07863,f32763afc,9bb02469c,61063fa1c,4a93ad962,4ef309fc3,fa1efdadd,ed0860a34,6ae0787f3,ffd50f0bf,704e2dc55,1b1a893f5,8d4b52f9a,b19e65a65,85dcc913d,92ba988e1,6d46740f1,0aab2f918,6610f90f1,a235f5488,c5c073bb0,13f7f9c70,fb6da0420,73361d959,783ee6e9a,635fbbd2c,60cd556c9,150504397,f3b6dabf7,d92ea0b2a,78bc2558b,b904b8345,4e1a8f6eb,c89ae4ce0,f2af9300f,ca25aad9f,9d435a85b,8d035d41e
0.0,0.0,0.0,600000.0,0.0,0.0,0.0,540000.0,0.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355000.0,0.0,0.0,252000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,540000.0,0.0,346000.0,180000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,355000.0,0.0,0.0,252000.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,540000.0,180000.0,0.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,355000.0,0.0,0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,540000.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,355000.0,0.0,0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,540000.0,0.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,355000.0,0.0,0.0,0.0,252000.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428666.66,0.0,0.0,0.0,0.0,355000.0,0.0,252000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522000.0,428666.66,0.0,0.0,0.0,0.0,355000.0,0.0,0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,522000.0,428666.66,0.0,0.0,0.0,0.0,0.0,355000.0,0.0,252000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200000.0,0.0,522000.0,428666.66,0.0,0.0,0.0,355000.0,0.0,0.0,0.0,252000.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000.0,1200000.0,0.0,522000.0,428666.66,0.0,0.0,0.0,0.0,355000.0,0.0,0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1000000.0,1200000.0,0.0,522000.0,428666.66,0.0,0.0,0.0,0.0,355000.0,0.0,0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1000000.0,1200000.0,0.0,522000.0,428666.66,0.0,0.0,0.0,0.0,355000.0,0.0,0.0,0.0,252000.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86000.0,0.0,0.0,1000000.0,1200000.0,0.0,522000.0,0.0,428666.66,0.0,0.0,0.0,355000.0,0.0,252000.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,86000.0,0.0,0.0,1000000.0,1200000.0,0.0,428666.66,522000.0,0.0,0.0,0.0,0.0,355000.0,0.0,0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,86000.0,0.0,0.0,1000000.0,1200000.0,522000.0,0.0,428666.66,0.0,0.0,0.0,0.0,0.0,355000.0,0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340000.0,0.0,0.0,86000.0,0.0,0.0,1000000.0,0.0,1200000.0,522000.0,428666.66,0.0,0.0,0.0,355000.0,0.0,0.0,0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,340000.0,0.0,0.0,86000.0,0.0,0.0,1200000.0,1000000.0,0.0,522000.0,428666.66,0.0,0.0,0.0,0.0,355000.0,0.0,0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,340000.0,0.0,0.0,86000.0,0.0,0.0,1000000.0,1200000.0,0.0,522000.0,428666.66,0.0,0.0,0.0,0.0,355000.0,0.0,0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,346000.0,180000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,340000.0,0.0,0.0,0.0,86000.0,0.0,1000000.0,1200000.0,0.0,522000.0,0.0,428666.66,0.0,0.0,0.0,355000.0,0.0,0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,180000.0,0.0,346000.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,340000.0,0.0,86000.0,0.0,0.0,0.0,1000000.0,1200000.0,0.0,428666.66,522000.0,0.0,0.0,0.0,0.0,355000.0,0.0,0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,540000.0,180000.0,346000.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,340000.0,0.0,0.0,86000.0,0.0,0.0,1000000.0,1200000.0,522000.0,0.0,428666.66,0.0,0.0,0.0,0.0,355000.0,0.0,0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,540000.0,0.0,0.0,180000.0,346000.0,0.0,0.0,0.0
302000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340000.0,0.0,86000.0,0.0,0.0,1000000.0,0.0,1200000.0,522000.0,428666.66,0.0,0.0,0.0,0.0,355000.0,0.0,0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0,0.0
0.0,302000.0,0.0,0.0,0.0,0.0,0.0,340000.0,0.0,0.0,0.0,86000.0,0.0,0.0,1200000.0,1000000.0,0.0,522000.0,428666.66,0.0,0.0,0.0,0.0,355000.0,0.0,0.0,252000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,540000.0,0.0,180000.0,346000.0,0.0
