75d240f7b,376474413,0892b3439,4bf2b8e7c,f8de3e357,50a900e26,ca4eab5c5,8c564ae48,16a9296fd,9bed59a71,683d89bf1,60b76e463,4d9538272,6a3b5a968,890163e1a,2c136905e,08d203407,08af3dd45,fbe52b1b2,736fce873,e2b4d4ef7,78c239acf,3da2882fd,10596ddee,2135da74a,3e0e55648,acee6ff41,93c1eecb4,b6e38a517,e9c7ccc05,06b19b6c4,b0e45a9f7,fd206ec4d,c63090352,df1ed6b50,28dc3cc44,2bf7dc91d,7b1ddbabf,5a88e3d89,f2520b601
70000.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70000.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74000.0,0.0,70000.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1158000.0,74000.0,0.0,70000.0,780000.0,0.0,0.0,0.0,0.0,0.0,1600000.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70000.0,0.0,1158000.0,74000.0,0.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,70000.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74000.0,70000.0,0.0,1158000.0,74000.0,70000.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,74000.0,70000.0,0.0,1158000.0,0.0,70000.0,600000.0,780000.0,0.0,0.0,0.0,74000.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70000.0,0.0,74000.0,70000.0,0.0,74000.0,0.0,70000.0,600000.0,780000.0,0.0,0.0,1158000.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70000.0,0.0,74000.0,70000.0,1158000.0,74000.0,0.0,70000.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,70000.0,0.0,74000.0,0.0,1158000.0,74000.0,0.0,70000.0,600000.0,0.0,70000.0,0.0,0.0,0.0,0.0,0.0,1600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300000.0,0.0,0.0,70000.0,0.0,70000.0,0.0,1158000.0,74000.0,0.0,70000.0,780000.0,74000.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360000.0,300000.0,0.0,0.0,70000.0,74000.0,70000.0,0.0,1158000.0,74000.0,0.0,600000.0,0.0,780000.0,0.0,0.0,0.0,0.0,0.0,70000.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,360000.0,300000.0,0.0,0.0,0.0,74000.0,70000.0,0.0,1158000.0,74000.0,70000.0,70000.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,360000.0,300000.0,0.0,70000.0,0.0,74000.0,70000.0,0.0,1158000.0,0.0,0.0,70000.0,600000.0,780000.0,0.0,0.0,0.0,74000.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,360000.0,300000.0,0.0,70000.0,0.0,74000.0,70000.0,0.0,74000.0,0.0,0.0,70000.0,600000.0,780000.0,0.0,0.0,1158000.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40000.0,0.0,0.0,0.0,360000.0,0.0,0.0,70000.0,0.0,74000.0,70000.0,1158000.0,300000.0,74000.0,0.0,70000.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,40000.0,0.0,0.0,0.0,300000.0,0.0,0.0,70000.0,0.0,74000.0,0.0,360000.0,1158000.0,74000.0,0.0,70000.0,600000.0,780000.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,40000.0,0.0,0.0,360000.0,300000.0,0.0,0.0,70000.0,0.0,70000.0,0.0,0.0,1158000.0,74000.0,0.0,70000.0,600000.0,74000.0,780000.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,40000.0,0.0,0.0,360000.0,300000.0,0.0,0.0,70000.0,74000.0,0.0,70000.0,0.0,1158000.0,74000.0,0.0,70000.0,0.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,40000.0,0.0,0.0,360000.0,300000.0,0.0,0.0,0.0,0.0,74000.0,70000.0,0.0,1158000.0,74000.0,0.0,70000.0,70000.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,360000.0,300000.0,0.0,0.0,70000.0,0.0,74000.0,70000.0,0.0,1158000.0,0.0,74000.0,0.0,70000.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,360000.0,0.0,0.0,0.0,70000.0,0.0,74000.0,70000.0,0.0,300000.0,1158000.0,74000.0,0.0,70000.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,70000.0,0.0,74000.0,70000.0,360000.0,0.0,1158000.0,74000.0,0.0,70000.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,360000.0,0.0,300000.0,0.0,0.0,70000.0,0.0,74000.0,0.0,70000.0,0.0,1158000.0,74000.0,0.0,70000.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,360000.0,300000.0,0.0,0.0,70000.0,0.0,0.0,74000.0,70000.0,0.0,1158000.0,74000.0,0.0,70000.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,360000.0,300000.0,0.0,0.0,70000.0,0.0,0.0,74000.0,70000.0,0.0,1158000.0,74000.0,0.0,70000.0,600000.0,780000.0,0.0,0.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0
